Multiplicity,Wyckoff letter,Sitesymmetry,Coordinates
16,u,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (-x,y,-z) (x,-y,-z) (y,x,-z) (-y,-x,-z) (-x,-y,-z) (x,y,-z) (y,-x,-z) (-y,x,-z) (x,-y,z) (-x,y,z) (-y,-x,z) (y,x,z)"
8,t,.m.,"(x,1/2,z) (-x,1/2,z) (1/2,x,z) (1/2,-x,z) (-x,1/2,-z) (x,1/2,-z) (1/2,x,-z) (1/2,-x,-z)"
8,s,.m.,"(x,0,z) (-x,0,z) (0,x,z) (0,-x,z) (-x,0,-z) (x,0,-z) (0,x,-z) (0,-x,-z)"
8,r,..m,"(x,x,z) (-x,-x,z) (-x,x,z) (x,-x,z) (-x,x,-z) (x,-x,-z) (x,x,-z) (-x,-x,-z)"
8,q,m..,"(x,y,1/2) (-x,-y,1/2) (-y,x,1/2) (y,-x,1/2) (-x,y,1/2) (x,-y,1/2) (y,x,1/2) (-y,-x,1/2)"
8,p,m..,"(x,y,0) (-x,-y,0) (-y,x,0) (y,-x,0) (-x,y,0) (x,-y,0) (y,x,0) (-y,-x,0)"
4,o,m2m .,"(x,1/2,1/2) (-x,1/2,1/2) (1/2,x,1/2) (1/2,-x,1/2)"
4,n,m2m .,"(x,1/2,0) (-x,1/2,0) (1/2,x,0) (1/2,-x,0)"
4,m,m2m .,"(x,0,1/2) (-x,0,1/2) (0,x,1/2) (0,-x,1/2)"
4,l,m2m .,"(x,0,0) (-x,0,0) (0,x,0) (0,-x,0)"
4,k,m.2 m,"(x,x,1/2) (-x,-x,1/2) (-x,x,1/2) (x,-x,1/2)"
4,j,m.2 m,"(x,x,0) (-x,-x,0) (-x,x,0) (x,-x,0)"
4,i,2mm .,"(0,1/2,z) (1/2,0,z) (0,1/2,-z) (1/2,0,-z)"
2,h,4mm,"(1/2,1/2,z) (1/2,1/2,-z)"
2,g,4mm,"(0,0,z) (0,0,-z)"
2,f,mmm .,"(0,1/2,0) (1/2,0,0)"
2,e,mmm .,"(0,1/2,1/2) (1/2,0,1/2)"
1,d,4/mmm,"(1/2,1/2,1/2)"
1,c,4/mmm,"(1/2,1/2,0)"
1,b,4/mmm,"(0,0,1/2)"
1,a,4/mmm,"(0,0,0)"
